proyectoID,numProyecto,numPedido,descripcionProyecto,fechaProyecto,clienteID,servicioID,totalHoras,estadoProyecto,fechaFinalizadoCurso,fechaFinalizado,descripcionFinalizado,fechaBajaCurso,motivoBajaID,fechaBaja,descripcionBaja,facturacionPerdida,indicacionFacturacion,indicacionTrabajo,observacionesBaja,areaID,empresaID,fechaI,fechaF,presupuesto,equipoID,tstamp,creador,fechaEntregaInicial,horasEstimadas,estrategia
183,13-0001-01,\N,RODICUT SISTEMAS,2013-01-01,8,7,148.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
184,13-0002-01,\N,RODICUT GESTION,2013-01-01,8,1,1010.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
185,13-0003-01,\N,TOOLS GESTION,2013-01-28,44,1,500.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
186,13-0004-01,\N,TOOLS SISTEMAS,2013-01-28,44,7,100.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
187,13-0005-01,\N,CAMARA SISTEMA,2013-01-01,24,7,48.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
188,13-0006-01,\N,ALGALIA SISTEMAS,2013-01-01,23,7,48.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
189,13-0007-01,\N,ASNAUGA ANDROID,2013-01-01,49,2,116.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
190,13-0008-01,\N,ASNAUGA IOS,2013-01-01,49,3,84.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
191,13-0009-01,\N,KASPERSKY-ANTIVIRUS,2013-01-01,48,1,120.00,Finalizado,\N,2013-09-27,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
192,13-0010-01,\N,KASPERSKYANTIVIRUS,2013-01-01,45,1,120.00,Finalizado,\N,2013-09-26,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,1,2013-01-01,2013-12-31,0.00,\N,2016-10-04 15:36:46,\N,\N,0.00,2
